code,percentage
enfj,0.07456666666666667
enfp,0.1446
entj,0.02405
entp,0.0443
esfj,0.09000000000000001
esfp,0.05268333333333333
estj,0.034916666666666665
estp,0.021216666666666665
infj,0.0792
infp,0.1566666666666667
intj,0.031433333333333334
intp,0.05506666666666666
isfj,0.07925
isfp,0.054966666666666664
istj,0.03145
istp,0.020900000000000002
